Category,Subcategory,Food_Number,Food_Item,Country,Year,GI_SEM,GL,Subjects,Avail_Carb_g,Test_Portion_g,Ref_Food_Time,Timepoints,Sample_Collection,Analysis_Method,Ref,GI_Value,GI_SEM_Value
BREAKFAST CEREALS,Breakfast cereal cookies,523.0,"Uncle Toby’s® Breakfast Bakes, Classic Peanut Butter",Australia,2019,47±5,9.0,"Normal, 10",50.0,102.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,47.0,5.0
BREAKFAST CEREALS,Breakfast cereal cookies,524.0,"Uncle Toby’s® Breakfast Bakes, Honey Almond",Australia,2019,50±4,10.0,"Normal, 9",50.0,101.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,50.0,4.0
BREAKFAST CEREALS,Breakfast cereal cookies,525.0,"Uncle Toby’s® Breakfast Bakes, Vanilla & Roasted Cashew",Australia,2019,44±3,9.0,"Normal, 9",50.0,101.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,44.0,3.0
BREAKFAST CEREALS,Breakfast cereal cookies,,"Breakfast cereal cookies, mean of four foods Adlay/Chinese pearl barley (Coix lachryma-Jobi)",,,47,,,,,,,,,,47.0,
CEREAL GRAINS,,526.0,Adlay (Coix lachryma-jobi L)22,Taiwan,2010*,39±0.3,18.0,"Normal, 10",50.0,64.0,"Bread, 2h",Standard,"Capillary, whole blood",Enzymatic,60,39.0,0.0
CEREAL GRAINS,,527.0,"Adlay, Chinese pearl barley (Coix lachryma-Jobi L.), boiled in water for 28 min",Australia,2005,78±6,35.0,"Normal, 10",50.0,81.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,78.0,6.0
CEREAL GRAINS,Barley,528.0,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,21±4,9.0,"Normal, 10",50.0,92.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,21.0,4.0
CEREAL GRAINS,Barley,529.0,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan), pot pearled (all of the bran and most of the germ removed), boiled for 30 min",Canada,2012*,22±3,10.0,"Normal, 10",50.0,83.7,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,22.0,3.0
CEREAL GRAINS,Barley,530.0,"Barley, CDC Fibar cultivar (two-rowed, hull-less, waxy barley; low amylose, high ß-glucan) whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,22±4,10.0,"Normal, 10",50.0,102.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,22.0,4.0
CEREAL GRAINS,Barley,531.0,"Barley, GB cultivar (two-rowed, hulled, normal barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,24±5,11.0,"Normal, 10",50.0,89.5,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,24.0,5.0
CEREAL GRAINS,Barley,532.0,"Barley, pot, boiled in salted water 20 min (Goudas Food Products, Concord, Canada)",Canada,1999,25±2,11.0,"Normal, 10",50.0,79.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,25.0,2.0
CEREAL GRAINS,Barley,533.0,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan), commercial pearled (some bran and germ were also removed), boiled for 25 min",Canada,2012*,25±3,11.0,"Normal, 10",50.0,91.6,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,25.0,3.0
CEREAL GRAINS,Barley,534.0,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley; high amylose, medium ß-glucan) whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,25±4,11.0,"Normal, 10",50.0,92.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,25.0,4.0
CEREAL GRAINS,Barley,535.0,"Barley, Rattan cultivar (two-rowed, hull-less, waxy barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,26±6,12.0,"Normal, 10",50.0,95.3,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,26.0,6.0
CEREAL GRAINS,Barley,536.0,"Barley, Kawathra cultivar (six-rowed, hulled, normal barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,28±4,13.0,"Normal, 10",50.0,85.1,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,28.0,4.0
CEREAL GRAINS,Barley,537.0,"Barley, Chief cultivar (two-rowed, hulled, normal barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,29±4,13.0,"Normal, 10",50.0,83.6,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,29.0,4.0
CEREAL GRAINS,Barley,538.0,"Barley, AC Alberta cultivar (two-rowed, hull-less, normal barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,29±7,13.0,"Normal, 10",50.0,91.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,29.0,7.0
CEREAL GRAINS,"Barley, CDC Fibar cultivar (two-rowed, hull-less, waxy",539.0,"barley; low amylose, high ß-glucan) white pearled (all of the bran and most of the germ and crease removed), boiled for 30 min",Canada,2012*,30±3,14.0,"Normal, 10",50.0,86.9,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,30.0,3.0
CEREAL GRAINS,"Barley, CDC Fibar cultivar (two-rowed, hull-less, waxy",540.0,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal barley; high amylose, low ß-glucan) whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,30±5,14.0,"Normal, 10",50.0,87.6,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,30.0,5.0
CEREAL GRAINS,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley;",541.0,"high amylose, medium ß-glucan), white pearled (all of the bran and most of the germ and crease removed), boiled for 30 min",Canada,2012*,32±6,14.0,"Normal, 10",50.0,80.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,32.0,6.0
CEREAL GRAINS,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley;",542.0,"high amylose, medium ß-glucan) white pearled (all of the bran and most of the germ and crease removed), boiled for 30 min",Canada,2012*,33±3,15.0,"Normal, 10",50.0,80.2,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,33.0,3.0
CEREAL GRAINS,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley;",543.0,"Barley, pot, boiled (Goudas Food Products, Canada)",Canada,2001,35±4,16.0,"Normal, 47",50.0,,"Glucose, 2h",Standard,"Capillary, NS",YSI or,42,35.0,4.0
CEREAL GRAINS,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley;",544.0,"Barley, pot, boiled (Goudas Food Products, Canada)",Canada,2001,33±8,15.0,"Normal, 21",50.0,,"Glucose, 2h",Standard,"Venous, NS",Enzymatic,42,33.0,8.0
CEREAL GRAINS,"Barley, Celebrity cultivar (six-rowed, hulled, normal barley;",545.0,"Barley, AC Klinck cultivar (six-rowed, hulled, normal barley), whole grain (only the husk was removed), boiled for 25 min",Canada,2012*,36±8,16.0,"Normal, 10",50.0,85.8,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,36.0,8.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",546.0,"barley; high amylose, low ß-glucan) white pearled (all of the bran and most of the germ and crease removed), boiled for 30 min",Canada,2012*,41±5,18.0,"Normal, 10",50.0,76.1,"Bread, 2h",Standard,"Capillary, whole blood",YSI,61,41.0,5.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",547.0,"Barley, pearled (Orzo, Barilla, Italy)",Italy,2009,58±8,26.0,"Normal, 9",50.0,76.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,58.0,8.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",,"Barley, mean of 20 foods",,,30,,,,,,,,,,30.0,
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",548.0,"Barley tempe (prepared by Lantmännen R&D from whole barley grains (c.v. Karmosé) with high ß-glucan (6%) and high amylose content (~40%) from Svalöf Weibull AB, Sweden)",Sweden,2007,30±5,14.0,"Normal, 13",25.0,95.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,62,30.0,5.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",549.0,"Highland Barley Mixed Flour (20% Highland Barley flour, 80% wheat flour) (Xinwang (Tibet XinWang Biology & Technology, China)",China,2019,63±5,28.0,"Normal, 12",50.0,71.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO18,63.0,5.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",550.0,"Porridge made from pearl barley (15.6 g fiber/100 g) (Waitrose Limited, Bracknell, UK)",UK,2012*,44±7,20.0,"Normal, 10",25.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,63,44.0,7.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",551.0,"Porridge made from pearl barley (15.6 g fiber/100 g) (Waitrose Limited, Bracknell, UK)",UK,2012*,39±10,18.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,63,39.0,10.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",552.0,"Porridge made from organic barley grain (9.6 g fiber/100 g) (Suma Whole Foods, UK)",UK,2012*,50±5,23.0,"Normal, 10",25.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,63,50.0,5.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",553.0,"Porridge made from organic barley grain (9.6 g fiber/100 g) (Suma Whole Foods, UK)",UK,2012*,43±8,19.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,63,43.0,8.0
CEREAL GRAINS,"Barley, AC Parkhill cultivar (two-rowed, hulled, normal",,"Porridge made from barley, mean of four studies",,,44,,,,,,,,,,44.0,
CEREAL GRAINS,Corn/Maize,554.0,Corn granules,China,2005,52±3,23.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Venous, NS",NS,12,52.0,3.0
CEREAL GRAINS,Corn/Maize,555.0,Cornmeal porridge,China,2005,68±3,31.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Venous, NS",NS,12,68.0,3.0
CEREAL GRAINS,Corn/Maize,556.0,"100% waxy corn starch (Amioca™ powder, Ingredion), prepared as a gel with 224.2 mL water, heated in microwave for 90 sec",Australia,2016,92±6,41.0,"Normal, 10",25.0,28.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,92.0,6.0
CEREAL GRAINS,Corn/Maize,557.0,"100% waxy corn starch (Ultra-Sperse™powder, Ingredion), prepared as a gel with 224.2 mL water, heated in microwave for 90 sec",Australia,2016,101±7,45.0,"Normal, 10",25.0,28.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,101.0,7.0
CEREAL GRAINS,Sweet corn,558.0,"Sweet corn, cooked in microwave for 1.5 min",Australia,2015,51±4,23.0,"Normal, 10",25.0,185.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,51.0,4.0
CEREAL GRAINS,Sweet corn,559.0,"Sweet corn, cooked",China,2005,55±2,25.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Venous, NS",NS,12,55.0,2.0
CEREAL GRAINS,Couscous,560.0,"Couscous, rehydrated with hot water (San Remo, Australia)",Australia,2006,65±7,29.0,"Normal, 9",50.0,70.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,65.0,7.0
CEREAL GRAINS,Couscous,561.0,"Pearl couscous (Israeli couscous) (Blu™ Gourmet brand, Benedikts Imports, Australia), rehydrated with hot water",Australia,2008,52±5,23.0,"Normal, 9",50.0,63.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,52.0,5.0
CEREAL GRAINS,Couscous,562.0,"Pearl couscous (Israeli couscous), whole wheat (Blu™ brand, Benedikts Imports, Australia), rehydrated with hot water",Australia,2013,53±4,24.0,"Normal, 9",50.0,80.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,53.0,4.0
CEREAL GRAINS,Millet,563.0,"Foxtail millet, cooked (millet:water ratio 1:1.5)",China,2016*,64±9,29.0,"Normal, 10",50.0,169.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,11,64.0,9.0
CEREAL GRAINS,Millet,564.0,"Unpolished little millet, plain cooked (Earth 360, Kadiri, Andhra Pradesh, India)",India,2017-,89±6,40.0,"Normal, 15",50.0,182.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,64,89.0,6.0
CEREAL GRAINS,Millet,565.0,"Unpolished foxtail millet, plain cooked (Earth 360, Kadiri, Andhra Pradesh, India)",India,2017-,89±9,40.0,"Normal, 15",50.0,170.1,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,64,89.0,9.0
CEREAL GRAINS,Millet,566.0,Foxtail millet porridge (millet:water ratio 1:9),China,2016*,94±11,42.0,"Normal, 10",50.0,550.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,11,94.0,11.0
CEREAL GRAINS,Oat,567.0,"Oat tempe (prepared by Lantmännen R&D from whole oat grains (c.v. Betania) with high ß-glucan content (6%) from Svalöf Weibull AB, Sweden)",Sweden,2007,63±6,28.0,"Normal, 13",25.0,111.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,62,63.0,6.0
CEREAL GRAINS,Quinoa,568.0,"Quinoa, white, cooked in boiling water for 15 min (Nutritious Foods, Australia)",Australia,2017,50±6,23.0,"Normal, 10",50.0,74.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,50.0,6.0
CEREAL GRAINS,Quinoa,569.0,"Quinoa, retort product, Coles Simply Gluten Free Quinoa Cups, microwaved for 70 sec (Coles Supermarkets, Australia)",Australia,2013,53±3,24.0,"Normal, 10",50.0,136.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,53.0,3.0
CEREAL GRAINS,Quinoa,570.0,"Quinoa, cooked, refrigerated, reheated in microwave for 1.5 min (Nature First Organic, Australia)",Australia,2003,53±5,24.0,"Normal, 10",50.0,73.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,53.0,5.0
CEREAL GRAINS,Quinoa,571.0,"Quinoa, red, cooked in boiling water for 15 min (Nutritious Foods, Australia)",Australia,2017,54±4,24.0,"Normal, 10",50.0,74.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,54.0,4.0
CEREAL GRAINS,Quinoa,,"Quinoa, mean of four foods",,,53,,,,,,,,,,53.0,
CEREAL GRAINS,Quinoa,572.0,"Quinoa, retort product, Coles Simply Gluten Free Mexican Style Quinoa and Brown Rice Cups, microwaved for 70 sec (Coles Supermarkets, Australia)",Australia,2013,49±3,22.0,"Normal, 10",50.0,167.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,49.0,3.0
CEREAL GRAINS,Rice,573.0,"Rice flour, 10% resistant starch, prepared with boiled water (Youtang Shanghai Academy of Agricultural Sciences, China)",China,2020,56±4,25.0,"Normal, 12",25.0,32.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO18,56.0,4.0
CEREAL GRAINS,"Basmati, white rice, boiled",574.0,"Basmati, white, polished, cooked 10 min",UK,2009*,50±6,23.0,"Normal, 10",50.0,64.8,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,65,50.0,6.0
CEREAL GRAINS,"Basmati, white rice, boiled",575.0,"Basmati rice (Dreamrice, Singapore)",Singapore,2015*,56±3,25.0,"Normal,",50.0,66.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,56.0,3.0
CEREAL GRAINS,"Basmati, white rice, boiled",576.0,"Basmati rice (SunRice; Ricegrowers Ltd.; Leeton, NSW, Australia)13",Australia,2013*,57±4,26.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,57.0,4.0
CEREAL GRAINS,"Basmati, white rice, boiled",577.0,"Basmati, white, boiled (Mahatma brand, Australia)",Australia,1995,58±8,26.0,"Normal, 9",50.0,63.0,"Bread, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,58.0,8.0
CEREAL GRAINS,"Basmati, white rice, boiled",578.0,"Basmati, white, boiled (SunRice brand, Rice Growers Co-Op., Australia)",Pakistan,2003,59±6,27.0,"Normal, 10",50.0,63.3,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,59.0,6.0
CEREAL GRAINS,"Basmati, white rice, boiled",579.0,"Basmati rice (Dreamrice, Singapore)",Singapore,2015*,60±4,27.0,"Normal,",50.0,66.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,60.0,4.0
CEREAL GRAINS,"Basmati, white rice, boiled",580.0,"Basmati rice (Dreamrice, Singapore)",Singapore,2015*,63±3,28.0,"Normal,",50.0,66.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,63.0,3.0
CEREAL GRAINS,"Basmati, white rice, boiled",581.0,"Basmati, white, boiled (SunRice brand, Rice Growers Co-Op., Australia)",Pakistan,2005,65±7,29.0,"Normal, 10",50.0,69.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,65.0,7.0
CEREAL GRAINS,"Basmati, white rice, boiled",582.0,"Basmati rice (Laila Basmati Rice, Surya Foods, Harwich, UK)",UK,2015*,66±7,30.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,68,66.0,7.0
CEREAL GRAINS,"Basmati, white rice, boiled",583.0,"Basmati rice (SunRice; Ricegrowers Ltd.; Leeton, NSW)13",Australia,2013*,67±5,30.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,67.0,5.0
CEREAL GRAINS,"Basmati, white rice, boiled",,"Basmati rice, white, mean of 10 studies",,,60,,,,,,,,,,60.0,
CEREAL GRAINS,"Basmati, white rice, boiled",584.0,"Basmati, parboiled long grain rice, Maharani brand (Chaman Lal Setia Exports Ltd, India)",India,2012,52±6,23.0,"Normal, 9",50.0,63.9,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,52.0,6.0
CEREAL GRAINS,"Basmati, white rice, boiled",585.0,"Basmati, brown (unpolished milled basmati rice), cooked for 25 min",UK,2009*,75±8,34.0,"Normal, 10",50.0,71.9,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,65,75.0,8.0
CEREAL GRAINS,"Basmati, white rice, boiled",586.0,"Basmati, white and brown (mixture of 60% white and 40% brown basmati rice), cooked for 25 min",UK,2009*,59±9,27.0,"Normal, 10",50.0,67.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,65,59.0,9.0
CEREAL GRAINS,"Basmati, white rice, boiled",587.0,"Basmati with wild rice (mixture of 83% easy-cook basmati and 17% North American wild rice (Zizania palustris L.), cooked 20 min",UK,2009*,63±8,28.0,"Normal, 10",50.0,65.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,65,63.0,8.0
CEREAL GRAINS,"Basmati, white rice, quick cooking",588.0,"Precooked basmati rice in pouch, white, reheated in microwave, Uncle Ben's Express® (Masterfoods, UK)",UK,2001,57±4,26.0,"Normal, 10",50.0,151.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,57.0,4.0
CEREAL GRAINS,"Basmati, white rice, quick cooking",589.0,"Quick cooking white basmati, cooked 10 min, Uncle Ben's® Superior (Masterfoods, Belgium)",Belgium,2000,60±5,27.0,"Normal, 10",50.0,67.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,60.0,5.0
CEREAL GRAINS,"Basmati, white rice, quick cooking",590.0,"Basmati, white, express rice, microwaved for 2 min (Uncle Ben’s®, Masterfoods, Australia)",Australia,2011,63±6,28.0,"Normal, 9",50.0,166.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,63.0,6.0
CEREAL GRAINS,"Basmati, white rice, quick cooking",591.0,"Basmati, easy-cook (heat-treated white, polished basmati rice), cooked 15 min",UK,2009*,80±8,36.0,"Normal, 10",50.0,64.1,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,65,80.0,8.0
CEREAL GRAINS,"Basmati, white rice, quick cooking",,"Basmati, quick cooking, mean of four foods Growers Co-Op., Australia)",,,65,,,,,,,,,,65.0,
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",592.0,"Doongara, white, cooked in rice cooker",Australia,2007,48±4,22.0,"Normal, 9",50.0,64.1,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,48.0,4.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",593.0,"Doongara, white rice (SunRice CleverRice, Rice Growers Coop, New Zealand) 13",New Zealand,2011*,48±4,22.0,"Normal, 30",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,69,48.0,4.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",594.0,"Doongara, white",Australia,2015,53±4,24.0,"Normal, 10",50.0,66.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,53.0,4.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",595.0,"Doongara, white",Australia,2005,54±6,24.0,"Normal, 10",50.0,65.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,54.0,6.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",596.0,"Doongara, white",Australia,1995,54±7,24.0,"Normal, 9",50.0,185.0,"Bread, 2h","0,15,30,45,6","Capillary, plasma",Enzymatic,70,54.0,7.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",597.0,"Doongara rice, cooked in rice cooker 13",Australia,2013*,55±4,25.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,55.0,4.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",598.0,"Doongara rice, cooked in rice cooker 13",Australia,2013*,67±4,30.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,67.0,4.0
CEREAL GRAINS,"Doongara, white rice (SunRice CleverRice™ brand, Rice",,"Doongara rice, mean of seven studies",,,54,,,,,,,,,,54.0,
CEREAL GRAINS,"Jasmine, white rice",599.0,"Jasmine rice, white Thai (Double FP brand, NTUC Fairprice Co-operative Ltd., Singapore), chewed 15 times",Singapore,2014*,68±3,31.0,"Normal, 15",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",Enzymatic,71,68.0,3.0
CEREAL GRAINS,"Jasmine, white rice",600.0,"Jasmine rice, cooked in rice cooker (SunRice; Ricegrowers Ltd., NSW, Australia)13",Australia,2013*,68±4,31.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,68.0,4.0
CEREAL GRAINS,"Jasmine, white rice",601.0,"Jasmine rice, steamed for 30 min, 31.6 g rice cooked with 35 mL water (COFCO China)",Thailand,2016,76±5,34.0,"Normal, 10",25.0,31.6,"Glucose, 2h",Standard,"Capillary, whole blood",Enzymatic,UO18,76.0,5.0
CEREAL GRAINS,"Jasmine, white rice",602.0,"Jasmine Fragrant rice, white (SunRice brand, Ricegrowers Limited, Australia)",Australia,2008,79±5,36.0,"Normal, 10",50.0,63.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,79.0,5.0
CEREAL GRAINS,"Jasmine, white rice",603.0,"Jasmine Fragrant rice (SunRice, Ricegrowers Limited, NSW)",Australia,2011,80±3,36.0,"Normal, 10",50.0,63.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,80.0,3.0
CEREAL GRAINS,"Jasmine, white rice",604.0,"Jasmine rice, cooked in rice cooker (SunRice; Ricegrowers Ltd., NSW, Australia) 13",Australia,2013*,80±4,36.0,Normal,50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,67,80.0,4.0
CEREAL GRAINS,"Jasmine, white rice",605.0,Jasmine long grain rice,Canada,2010*,82±8,37.0,"Normal, 10",50.0,62.5,"Bread, 2h",Standard,"Capillary, whole blood",YSI,56,82.0,8.0
CEREAL GRAINS,"Jasmine, white rice",606.0,"Jasmine white rice (Uncle Ben's Jasmine Rice, Mars Canada, Bolton, Ontario, Canada)",Canada,2010,84±4,38.0,"Normal, 10",50.0,60.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,39,84.0,4.0
CEREAL GRAINS,"Jasmine, white rice",607.0,"Jasmine rice, white Thai (Double FP brand, NTUC Fairprice Co-operative Ltd., Singapore); chewed 30 times",Singapore,2014*,88±10,40.0,"Normal, 14",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",Enzymatic,71,88.0,10.0
CEREAL GRAINS,"Jasmine, white rice",608.0,"Jasmine Fragrant rice, white (SunRice brand, Ricegrowers Limited, Australia)",Australia,2006,89±4,40.0,"Normal, 10",50.0,63.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,89.0,4.0
CEREAL GRAINS,"Jasmine, white rice",609.0,"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand) 11",Thailand,2015*,90±5,41.0,"Normal,",50.0,63.6,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,90.0,5.0
CEREAL GRAINS,"Jasmine, white rice",610.0,"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand) 11",Thailand,2015*,91±4,41.0,"Normal,",50.0,63.6,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,91.0,4.0
CEREAL GRAINS,"Jasmine, white rice",611.0,"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand) 11",Thailand,2015*,92±4,41.0,"Normal,",50.0,63.6,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,66,92.0,4.0
CEREAL GRAINS,"Jasmine, white rice",612.0,"Rice, white, Thai Hom Mali fragrant rice, cooked in rice cooker (NTUC Fairprice, Singapore)",Singapore,2013,96±6,43.0,"Normal, 12",50.0,63.2,"Glucose, 3h21","0,15,30,45,6","Capillary, whole blood",HemoCue,72,96.0,6.0
CEREAL GRAINS,"Jasmine, white rice",613.0,"Jasmine rice, Jazzmen, cooked in rice cooker (Jazzmen Rice, Inc., USA) 11",USA,2014*,106±13,48.0,"Normal, 12",50.0,68.8,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,73,106.0,13.0
CEREAL GRAINS,"Jasmine, white rice",614.0,"Jasmine rice, white, cooked in rice cooker (Golden World Foods, Bangkok, Thailand)",Thailand,2000,109±10,49.0,"Normal, 12",50.0,63.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,74,109.0,10.0
CEREAL GRAINS,"Jasmine, white rice",615.0,"Jasmine rice, Mahatma, cooked in rice cooker (Riviana Foods Inc., Thailand) 11",Thailand,2014*,115±7,52.0,"Normal, 12",50.0,62.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,73,115.0,7.0
CEREAL GRAINS,"Jasmine, white rice",616.0,"Jasmine rice, Reindeer, cooked in rice cooker (Oriental Jasmine Rice Co., Thailand) 11",Thailand,2014*,116±11,52.0,"Normal, 12",50.0,62.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,73,116.0,11.0
CEREAL GRAINS,"Jasmine, white rice",,"Jasmine rice, white, mean of 18 studies",,,89,,,,,,,,,,89.0,
